	PeakID (cmd=annotatePeaks.pl data/GSM816655_hg19_wgEncodeOpenChromDnaseK562PkV2.narrowPeak hg19 -gtf ref_files/gencode.v41.annotation.gtf)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
69	chr18.256	chr18	9135899	9137741	+	1000		promoter-TSS (ENST00000262126.9)	protein_coding-promoter-TSS (ENST00000262126.9)	15	ENST00000540578.6	ENSG00000101745	ENST00000581635			ANKRD12			protein_coding
71	chr16.4740	chr16	87593878	87595095	+	1000		promoter-TSS (ENST00000660578.1)	lncRNA-promoter-TSS (ENST00000660578.1)	-645	ENST00000660578.1	ENSG00000260750	ENST00000660578			ENSG00000260750			lncRNA
74	chr5.978	chr5	33440376	33441593	+	1000		promoter-TSS (ENST00000265112.8)	protein_coding-promoter-TSS (ENST00000265112.8)	7	ENST00000507716.5	ENSG00000113407	ENST00000514259			TARS1			protein_coding
75	chr19.743	chr19	3284614	3286267	+	1000		intron (ENST00000591483.1, intron 1 of 3)	protein_coding-intron (ENST00000292672.7, intron 9 of 12)	678	ENST00000591483.1	ENSG00000161082	ENST00000586050			CELF5			protein_coding
80	chr7.3547	chr7	100199575	100200913	+	1000		promoter-TSS (ENST00000479359.1)	protein_coding-promoter-TSS (ENST00000479359.1)	97	ENST00000479359.1	ENSG00000066923	ENST00000496157			STAG3			protein_coding
86	chr11.3272	chr11	65341442	65344231	+	1000		promoter-TSS (ENST00000532492.1)	protein_coding-promoter-TSS (ENST00000532492.1)	-669	ENST00000532492.1	ENSG00000133884	ENST00000532492			DPF2			protein_coding
91	chr6.771	chr6	15248068	15249580	+	1000		promoter-TSS (ENST00000397311.4)	protein_coding-promoter-TSS (ENST00000397311.4)	-31	ENST00000397311.4	ENSG00000008083	ENST00000474854			JARID2			protein_coding
99	chr6.1736	chr6	31762393	31764103	+	1000		promoter-TSS (ENST00000494299.1)	protein_coding-promoter-TSS (ENST00000494299.1)	199	ENST00000425424.4	ENSG00000228727	ENST00000494299			SAPCD1			protein_coding
105	chr12.722	chr12	21654071	21655250	+	1000		promoter-TSS (ENST00000470280.1)	protein_coding-promoter-TSS (ENST00000470280.1)	-90	ENST00000470280.1	ENSG00000111716	ENST00000396076			LDHB			protein_coding
111	chr11.1887	chr11	43569183	43569898	+	1000		exon (ENST00000533531.1, exon 1 of 2)	lncRNA-exon (ENST00000533531.1, exon 1 of 2)	234	ENST00000533531.1	ENSG00000235661	ENST00000533531			MIR670HG			lncRNA
112	chr1.9167	chr1	156736608	156737515	+	1000		TTS (ENST00000361531.6)	protein_coding-TTS (ENST00000361531.6)	903	ENST00000481920.1	ENSG00000143303	ENST00000517871			METTL25B			protein_coding
116	chr11.359	chr11	1865416	1866245	+	1000		intron (ENST00000381775.5, intron 1 of 11)	protein_coding-intron (ENST00000311604.8, intron 1 of 10)	665	ENST00000381775.5	ENSG00000130592	ENST00000676039			LSP1			protein_coding
117	chrX.2264	chrX	134165913	134167165	+	1000		promoter-TSS (ENST00000445940.1)	processed_pseudogene-promoter-TSS (ENST00000445940.1)	-143	ENST00000445940.1	ENSG00000224908	ENST00000445940			TIMM8BP2			processed_pseudogene
122	chr17.511	chr17	7254435	7255969	+	1000		TTS (ENST00000570500.6)	protein_coding-TTS (ENST00000570500.6)	619	ENST00000572104.2	ENSG00000170291	ENST00000396627			ELP5			protein_coding
130	chr17.948	chr17	17255368	17256273	+	1000		promoter-TSS (ENST00000463097.1)	protein_coding-promoter-TSS (ENST00000463097.1)	-765	ENST00000463097.1	ENSG00000141030	ENST00000463097			COPS3			protein_coding
136	chr15.3200	chr15	90293626	90294911	+	1000		TTS (ENST00000613111.1)	misc_RNA-TTS (ENST00000613111.1)	329	ENST00000613111.1	ENSG00000275803	ENST00000613111			RN7SL736P			misc_RNA
139	chr17.2738	chr17	41321596	41323643	+	1000		promoter-TSS (ENST00000428328.1)	unprocessed_pseudogene-promoter-TSS (ENST00000428328.1)	-808	ENST00000428328.1	ENSG00000233014	ENST00000428328			TBC1D3P7			unprocessed_pseudogene
143	chr16.2282	chr16	29888506	29889430	+	1000		promoter-TSS (ENST00000563118.1)	protein_coding-promoter-TSS (ENST00000563118.1)	-375	ENST00000563118.1	ENSG00000174938	ENST00000562159			SEZ6L2			protein_coding
145	chr15.693	chr15	41575791	41576968	+	1000		promoter-TSS (ENST00000568490.1)	protein_coding-promoter-TSS (ENST00000568490.1)	-956	ENST00000568490.1	ENSG00000092445	ENST00000559815			TYRO3			protein_coding
152	chr19.1476	chr19	7615626	7616701	+	1000		promoter-TSS (ENST00000593434.1)	protein_coding-promoter-TSS (ENST00000593434.1)	-243	ENST00000593434.1	ENSG00000076826	ENST00000593434			CAMSAP3			protein_coding
155	chr4.347	chr4	2443192	2444291	+	1000		intron (ENST00000511731.5, intron 4 of 5)	protein_coding-intron (ENST00000511731.5, intron 4 of 5)	526	ENST00000515732.1	ENSG00000206113	ENST00000382849			CFAP99			protein_coding
157	chr16.3355	chr16	67194578	67195233	+	1000		promoter-TSS (ENST00000565226.1)	protein_coding-promoter-TSS (ENST00000565226.1)	-47	ENST00000565226.1	ENSG00000205250	ENST00000566368			E2F4			protein_coding
159	chr1.12222	chr1	228462783	228464839	+	1000		TTS (ENST00000436555.2)	unitary_pseudogene-TTS (ENST00000436555.2)	783	ENST00000436555.2	ENSG00000181201	ENST00000436555			H2BU2P			unitary_pseudogene
162	chr19.651	chr19	2949873	2951252	+	1000		promoter-TSS (ENST00000692858.1)	lncRNA-promoter-TSS (ENST00000692858.1)	96	ENST00000692858.1	ENSG00000288906	ENST00000692858			ENSG00000288906			lncRNA
164	chr1.7908	chr1	114354023	114355469	+	1000		exon (ENST00000604963.1, exon 1 of 2)	processed_pseudogene-exon (ENST00000604963.1, exon 1 of 2)	760	ENST00000604963.1	ENSG00000271419	ENST00000604963			ENSG00000271419			processed_pseudogene
178	chr17.6232	chr17	80454834	80455719	+	1000		promoter-TSS (ENST00000562672.2)	lncRNA-promoter-TSS (ENST00000562672.2)	-547	ENST00000562672.2	ENSG00000260369	ENST00000562672			ENSG00000260369			lncRNA
180	chr19.976	chr19	4246605	4247961	+	1000		promoter-TSS (ENST00000596496.1)	protein_coding-promoter-TSS (ENST00000596496.1)	75	ENST00000622962.1	ENSG00000280247	ENST00000622962			ENSG00000280247			TEC
181	chr6.510	chr6	7725734	7727621	+	1000		exon (ENST00000283147.7, exon 1 of 7)	protein_coding-exon (ENST00000283147.7, exon 1 of 7)	578	ENST00000283147.7	ENSG00000153162	ENST00000283147			BMP6			protein_coding
188	chr6.1727	chr6	31737369	31738043	+	1000		promoter-TSS (ENST00000375780.6)	protein_coding-promoter-TSS (ENST00000375780.6)	-388	ENST00000375780.6	ENSG00000213719	ENST00000395892			CLIC1			protein_coding
191	chr15.2251	chr15	74838308	74838995	+	1000		promoter-TSS (ENST00000567472.5)	protein_coding-promoter-TSS (ENST00000567472.5)	-139	ENST00000567472.5	ENSG00000140474	ENST00000568667			ULK3			protein_coding
194	chr19.985	chr19	4303883	4305509	+	1000		promoter-TSS (ENST00000221856.11)	protein_coding-promoter-TSS (ENST00000221856.11)	-4	ENST00000601815.5	ENSG00000105255	ENST00000601006			FSD1			protein_coding
199	chr9.429	chr9	34611423	34612553	+	1000		exon (ENST00000297613.4, exon 1 of 2)	protein_coding-exon (ENST00000297613.4, exon 1 of 2)	109	ENST00000378959.9	ENSG00000164967	ENST00000297613			RPP25L			protein_coding
206	chr9.2390	chr9	124975642	124977039	+	1000		promoter-TSS (ENST00000494102.2)	protein_coding-promoter-TSS (ENST00000494102.2)	-154	ENST00000494102.2	ENSG00000173611	ENST00000494102			SCAI			protein_coding
230	chr11.79	chr11	559268	561729	+	1000		promoter-TSS (ENST00000397582.7)	protein_coding-promoter-TSS (ENST00000397582.7)	94	ENST00000431809.5	ENSG00000099849	ENST00000414138			RASSF7			protein_coding
247	chrX.2715	chrX	153569474	153570818	+	1000		TTS (ENST00000393842.5)	protein_coding-TTS (ENST00000393842.5)	498	ENST00000496610.1	ENSG00000067842	ENST00000359149			ATP2B3			protein_coding
251	chr5.5153	chr5	180257432	180258965	+	1000		exon (ENST00000523026.1, exon 1 of 1)	processed_pseudogene-exon (ENST00000523026.1, exon 1 of 1)	518	ENST00000523026.1	ENSG00000253908	ENST00000523026			ENSG00000253908			processed_pseudogene
264	chr19.836	chr19	3626048	3627697	+	1000		promoter-TSS (ENST00000221899.7)	protein_coding-promoter-TSS (ENST00000221899.7)	-57	ENST00000221899.7	ENSG00000105298	ENST00000429344			CACTIN			protein_coding
275	chr7.1981	chr7	44787661	44788986	+	1000		promoter-TSS (ENST00000425077.1)	lncRNA-promoter-TSS (ENST00000425077.1)	-983	ENST00000425077.1	ENSG00000228596	ENST00000425077			ENSG00000228596			lncRNA
277	chr3.2376	chr3	52443654	52444985	+	1000		intron (ENST00000475739.1, intron 1 of 5)	protein_coding-intron (ENST00000231721.7, intron 1 of 15)	650	ENST00000465657.1	ENSG00000010319	ENST00000231721			SEMA3G			protein_coding
286	chr11.3	chr11	206552	208252	+	1000		promoter-TSS (ENST00000325147.13)	protein_coding-promoter-TSS (ENST00000325147.13)	-3	ENST00000382762.8	ENSG00000177951	ENST00000529614			BET1L			protein_coding
290	chr19.5378	chr19	49639162	49639715	+	1000		intron (ENST00000601532.1, intron 1 of 3)	protein_coding-intron (ENST00000246792.4, intron 1 of 5)	684	ENST00000601532.1	ENSG00000126458	ENST00000601532			RRAS			protein_coding
304	chr1.3891	chr1	27648315	27649535	+	1000		promoter-TSS (ENST00000433132.1)	processed_pseudogene-promoter-TSS (ENST00000433132.1)	-494	ENST00000433132.1	ENSG00000235912	ENST00000433132			ENSG00000235912			processed_pseudogene
313	chr19.2044	chr19	12550934	12552254	+	1000		promoter-TSS (ENST00000339282.12)	protein_coding-promoter-TSS (ENST00000339282.12)	-52	ENST00000596193.1	ENSG00000249709	ENST00000339282			ZNF564			protein_coding
317	chr22.2207	chr22	41939801	41940892	+	1000		promoter-TSS (ENST00000472374.6)	protein_coding-promoter-TSS (ENST00000472374.6)	-127	ENST00000472374.6	ENSG00000100162	ENST00000407253			CENPM			protein_coding
320	chr19.6383	chr19	57946257	57947305	+	1000		intron (ENST00000282308.4, intron 1 of 2)	protein_coding-intron (ENST00000282308.4, intron 1 of 2)	894	ENST00000598928.1	ENSG00000152454	ENST00000282308			ZNF256			protein_coding
332	chr19.2736	chr19	17687092	17688118	+	1000		intron (ENST00000552293.5, intron 1 of 41)	protein_coding-intron (ENST00000519716.7, intron 1 of 43)	721	ENST00000552293.5	ENSG00000130477	ENST00000550896			UNC13A			protein_coding
341	chr1.1616	chr1	9934747	9935671	+	1000		intron (ENST00000488540.5, intron 1 of 4)	protein_coding-intron (ENST00000377213.1, intron 4 of 7)	411	ENST00000488540.5	ENSG00000162441	ENST00000488540			LZIC			protein_coding
350	chr9.3597	chr9	135544844	135546767	+	1000		promoter-TSS (ENST00000340780.7)	protein_coding-promoter-TSS (ENST00000340780.7)	-321	ENST00000371776.6	ENSG00000122136	ENST00000371776			OBP2A			protein_coding
361	chr19.2740	chr19	17727031	17728714	+	1000		promoter-TSS (ENST00000598756.1)	protein_coding-promoter-TSS (ENST00000598756.1)	-276	ENST00000598756.1	ENSG00000130479	ENST00000600186			MAP1S			protein_coding
364	chr5.1125	chr5	39073420	39075412	+	1000		promoter-TSS (ENST00000296782.9)	protein_coding-promoter-TSS (ENST00000296782.9)	-17	ENST00000513566.1	ENSG00000164327	ENST00000357387			RICTOR			protein_coding
365	chr6.531	chr6	8435203	8436219	+	1000		promoter-TSS (ENST00000379660.4)	protein_coding-promoter-TSS (ENST00000379660.4)	1	ENST00000643545.1	ENSG00000285219	ENST00000642357			HULC			lncRNA
369	chrX.2724	chrX	153598877	153600367	+	1000		promoter-TSS (ENST00000440428.5)	protein_coding-promoter-TSS (ENST00000440428.5)	179	ENST00000646177.1	ENSG00000260081	ENST00000569906			MRFAP1P1			transcribed_processed_pseudogene
371	chr16.478	chr16	2009183	2010070	+	1000		promoter-TSS (ENST00000567649.1)	protein_coding-promoter-TSS (ENST00000567649.1)	138	ENST00000562988.5	ENSG00000167962	ENST00000562103			ZNF598			protein_coding
373	chr9.1987	chr9	114393120	114394200	+	1000		intron (ENST00000307564.8, intron 1 of 21)	protein_coding-intron (ENST00000307564.8, intron 1 of 21)	745	ENST00000307564.8	ENSG00000106948	ENST00000491133			AKNA			protein_coding
375	chr11.4530	chr11	77184360	77185807	+	1000		TTS (ENST00000409893.6)	protein_coding-TTS (ENST00000409893.6)	397	ENST00000467137.1	ENSG00000137474	ENST00000670577			MYO7A			protein_coding
378	chr5.2172	chr5	90678940	90679684	+	1000		promoter-TSS (ENST00000640012.1)	protein_coding-promoter-TSS (ENST00000640012.1)	-294	ENST00000640012.1	ENSG00000164199	ENST00000639530			ADGRV1			protein_coding
380	chrX.687	chrX	40010225	40015358	+	1000		promoter-TSS (ENST00000690260.1)	lncRNA-promoter-TSS (ENST00000690260.1)	-129	ENST00000690260.1	ENSG00000289570	ENST00000690260			ENSG00000289570			lncRNA
389	chr20.758	chr20	25227729	25229506	+	1000		promoter-TSS (ENST00000613361.1)	lncRNA-promoter-TSS (ENST00000613361.1)	-533	ENST00000613361.1	ENSG00000277938	ENST00000613361			ENSG00000277938			lncRNA
400	chr17.635	chr17	8150975	8151656	+	1000		promoter-TSS (ENST00000581082.5)	protein_coding-promoter-TSS (ENST00000581082.5)	-483	ENST00000581082.5	ENSG00000179094	ENST00000581395			PER1			protein_coding
402	chr1.2234	chr1	15943520	15944683	+	1000		promoter-TSS (ENST00000472658.1)	protein_coding-promoter-TSS (ENST00000472658.1)	-175	ENST00000472658.1	ENSG00000116809	ENST00000375743			ZBTB17			protein_coding
414	chr4.45	chr4	674288	676272	+	1000		intron (ENST00000502720.1, intron 1 of 1)	protein_coding-intron (ENST00000502720.1, intron 1 of 1)	720	ENST00000511290.5	ENSG00000215375	ENST00000505477			MYL5			protein_coding
418	chr1.305	chr1	1623627	1625211	+	1000		promoter-TSS (ENST00000467597.1)	protein_coding-promoter-TSS (ENST00000467597.1)	-325	ENST00000467597.1	ENSG00000197530	ENST00000505370			MIB2			protein_coding
420	chr15.915	chr15	44828477	44829969	+	1000		promoter-TSS (ENST00000562107.1)	transcribed_unprocessed_pseudogene-promoter-TSS (ENST00000562107.1)	-492	ENST00000562107.1	ENSG00000259479	ENST00000561384			SORD2P			transcribed_unprocessed_pseudogene
429	chr19.4316	chr19	41869493	41870443	+	1000		TTS (ENST00000598261.2)	protein_coding-TTS (ENST00000598261.2)	341	ENST00000621706.1	ENSG00000276926	ENST00000621706			MIR6797			miRNA
436	chr2.25	chr2	676034	677908	+	1000		promoter-TSS (ENST00000355654.6)	protein_coding-promoter-TSS (ENST00000355654.6)	-184	ENST00000461640.1	ENSG00000151353	ENST00000281017			TMEM18			protein_coding
446	chr12.4323	chr12	122063981	122065445	+	1000		intron (ENST00000653475.1, intron 1 of 2)	lncRNA-intron (ENST00000423999.2, intron 1 of 1)	356	ENST00000423999.2	ENSG00000256546	ENST00000540968			LINC02985			lncRNA
448	chr19.5873	chr19	52429835	52431097	+	1000		promoter-TSS (ENST00000332323.10)	protein_coding-promoter-TSS (ENST00000332323.10)	-948	ENST00000432303.6	ENSG00000198633	ENST00000332323			ZNF534			protein_coding
451	chr9.318	chr9	33001133	33002080	+	1000		promoter-TSS (ENST00000309615.8)	protein_coding-promoter-TSS (ENST00000309615.8)	1	ENST00000397172.8	ENSG00000137074	ENST00000463596			APTX			protein_coding
458	chr16.1838	chr16	23521124	23522128	+	1000		TTS (ENST00000564987.1)	protein_coding-TTS (ENST00000564987.1)	369	ENST00000569300.5	ENSG00000103365	ENST00000566547			GGA2			protein_coding
470	chr19.4854	chr19	46173726	46174655	+	1000		promoter-TSS (ENST00000600152.1)	lncRNA-promoter-TSS (ENST00000600152.1)	-161	ENST00000600152.1	ENSG00000269729	ENST00000600152			ENSG00000269729			lncRNA
476	chr19.4689	chr19	45393462	45394855	+	1000		promoter-TSS (ENST00000587270.5)	protein_coding-promoter-TSS (ENST00000587270.5)	-991	ENST00000587270.5	ENSG00000104881	ENST00000592134			PPP1R13L			protein_coding
488	chr11.80	chr11	567960	569247	+	1000		promoter-TSS (ENST00000362168.1)	miRNA-promoter-TSS (ENST00000362168.1)	-146	ENST00000533920.1	ENSG00000247095	ENST00000692695			MIR210HG			lncRNA
521	chr15.2337	chr15	75470063	75471256	+	1000		intron (ENST00000563835.1, intron 2 of 2)	protein_coding-intron (ENST00000563835.1, intron 2 of 2)	250	ENST00000568108.1	ENSG00000169410	ENST00000564970			PTPN9			protein_coding
523	chr1.9370	chr1	160067904	160069462	+	1000		promoter-TSS (ENST00000638868.1)	protein_coding-promoter-TSS (ENST00000638868.1)	-635	ENST00000638868.1	ENSG00000177807	ENST00000509700			KCNJ10			protein_coding
529	chr16.2325	chr16	30107185	30108333	+	1000		promoter-TSS (ENST00000566190.1)	lncRNA-promoter-TSS (ENST00000566190.1)	84	ENST00000566190.1	ENSG00000261367	ENST00000566190			ENSG00000261367			lncRNA
532	chr19.860	chr19	3721198	3721984	+	1000		promoter-TSS (ENST00000587912.1)	protein_coding-promoter-TSS (ENST00000587912.1)	-26	ENST00000587912.1	ENSG00000105289	ENST00000539908			TJP3			protein_coding
535	chr5.4788	chr5	176738347	176740265	+	1000		intron (ENST00000512245.1, intron 1 of 3)	lncRNA-intron (ENST00000512245.1, intron 1 of 3)	152	ENST00000512245.1	ENSG00000251446	ENST00000512245			ENSG00000251446			lncRNA
537	chr11.108	chr11	705772	707750	+	1000		promoter-TSS (ENST00000526857.2)	protein_coding-promoter-TSS (ENST00000526857.2)	132	ENST00000530636.5	ENSG00000177106	ENST00000529680			EPS8L2			protein_coding
542	chr16.3779	chr16	71879477	71880268	+	1000		TTS (ENST00000561700.2)	protein_coding-TTS (ENST00000561700.2)	193	ENST00000565516.5	ENSG00000102984	ENST00000565843			ZNF821			protein_coding
543	chr16.3019	chr16	57118053	57118740	+	1000		promoter-TSS (ENST00000565766.1)	protein_coding-promoter-TSS (ENST00000565766.1)	-803	ENST00000565766.1	ENSG00000140848	ENST00000566910			CPNE2			protein_coding
547	chr12.2123	chr12	56360175	56361173	+	1000		promoter-TSS (ENST00000314128.9)	protein_coding-promoter-TSS (ENST00000314128.9)	-471	ENST00000698193.1	ENSG00000170581	ENST00000652741			STAT2			protein_coding
554	chr12.597	chr12	12714474	12716105	+	1000		TTS (ENST00000682080.1)	protein_coding-TTS (ENST00000682080.1)	231	ENST00000477087.1	ENSG00000111276	ENST00000228872			CDKN1B			protein_coding
556	chr18.268	chr18	9474704	9476185	+	1000		promoter-TSS (ENST00000383432.8)	protein_coding-promoter-TSS (ENST00000383432.8)	-10	ENST00000585015.6	ENSG00000017797	ENST00000609094			RALBP1			protein_coding
557	chr12.332	chr12	6771716	6772890	+	1000		promoter-TSS (ENST00000203629.3)	protein_coding-promoter-TSS (ENST00000203629.3)	-209	ENST00000538079.1	ENSG00000089692	ENST00000538079			LAG3			protein_coding
563	chr19.5392	chr19	49713279	49714218	+	1000		TTS (ENST00000323446.9)	protein_coding-TTS (ENST00000323446.9)	755	ENST00000597099.1	ENSG00000169169	ENST00000594038			CPT1C			protein_coding
566	chr20.2074	chr20	46353982	46354566	+	1000		TTS (ENST00000424568.1)	protein_coding-TTS (ENST00000424568.1)	921	ENST00000480329.5	ENSG00000080189	ENST00000372227			SLC35C2			protein_coding
569	chr1.8751	chr1	153939576	153940575	+	1000		TTS (ENST00000494683.1)	protein_coding-TTS (ENST00000494683.1)	577	ENST00000485359.1	ENSG00000198837	ENST00000483561			DENND4B			protein_coding
577	chr7.485	chr7	2393395	2394809	+	1000		promoter-TSS (ENST00000603368.1)	processed_pseudogene-promoter-TSS (ENST00000603368.1)	29	ENST00000603368.1	ENSG00000271163	ENST00000603368			ENSG00000271163			processed_pseudogene
582	chr9.19	chr9	503963	505371	+	1000		promoter-TSS (ENST00000354485.5)	protein_coding-promoter-TSS (ENST00000354485.5)	-13	ENST00000691319.1	ENSG00000107104	ENST00000687662			KANK1			protein_coding
586	chr7.5552	chr7	150736022	150737396	+	1000		promoter-TSS (ENST00000358647.5)	protein_coding-promoter-TSS (ENST00000358647.5)	-709	ENST00000358647.5	ENSG00000196329	ENST00000358647			GIMAP5			protein_coding
592	chr4.1409	chr4	41216271	41217002	+	1000		promoter-TSS (ENST00000502682.1)	protein_coding-promoter-TSS (ENST00000502682.1)	78	ENST00000502682.1	ENSG00000163697	ENST00000514094			APBB2			protein_coding
595	chr15.3149	chr15	89749950	89750582	+	1000		intron (ENST00000559894.1, intron 1 of 1)	protein_coding-intron (ENST00000300057.5, intron 1 of 1)	871	ENST00000559894.1	ENSG00000166823	ENST00000559894			MESP1			protein_coding
596	chr9.279	chr9	26956083	26956691	+	1000		promoter-TSS (ENST00000380062.10)	protein_coding-promoter-TSS (ENST00000380062.10)	-25	ENST00000518614.5	ENSG00000096872	ENST00000519968			IFT74			protein_coding
599	chr1.2364	chr1	16490557	16491162	+	1000		intron (ENST00000591348.5, intron 2 of 11)	transcribed_unprocessed_pseudogene-intron (ENST00000263511.8, intron 4 of 14)	223	ENST00000591348.5	ENSG00000080947	ENST00000591316			CROCCP3			transcribed_unprocessed_pseudogene
601	chr20.1934	chr20	44746415	44747428	+	1000		promoter-TSS (ENST00000427303.2)	lncRNA-promoter-TSS (ENST00000427303.2)	279	ENST00000611368.1	ENSG00000276223	ENST00000611368			ENSG00000276223			lncRNA
603	chr19.1686	chr19	9434162	9435251	+	1000		promoter-TSS (ENST00000690644.1)	lncRNA-promoter-TSS (ENST00000690644.1)	487	ENST00000590306.5	ENSG00000174652	ENST00000592904			ZNF266			protein_coding
604	chr1.578	chr1	2477052	2479992	+	1000		promoter-TSS (ENST00000343889.8)	protein_coding-promoter-TSS (ENST00000343889.8)	-568	ENST00000343889.8	ENSG00000149527	ENST00000343889			PLCH2			protein_coding
614	chrX.987	chrX	48897200	48897926	+	1000		promoter-TSS (ENST00000218224.9)	protein_coding-promoter-TSS (ENST00000218224.9)	184	ENST00000490755.2	ENSG00000126768	ENST00000464663			TIMM17B			protein_coding
616	chr19.2117	chr19	12995661	12997397	+	1000		intron (ENST00000592199.6, intron 1 of 10)	protein_coding-intron (ENST00000397661.6, intron 1 of 9)	921	ENST00000397661.6	ENSG00000008441	ENST00000591028			NFIX			protein_coding
617	chr1.187	chr1	1272693	1273732	+	1000		exon (ENST00000488418.2, exon 1 of 2)	protein_coding-exon (ENST00000488418.2, exon 1 of 2)	259	ENST00000488418.2	ENSG00000160087	ENST00000488418			UBE2J2			protein_coding
624	chr2.2716	chr2	73089492	73090148	+	1000		promoter-TSS (ENST00000493523.2)	protein_coding-promoter-TSS (ENST00000493523.2)	-165	ENST00000493523.2	ENSG00000135631	ENST00000482554			RAB11FIP5			protein_coding
625	chr12.3682	chr12	111842510	111844217	+	1000		promoter-TSS (ENST00000428207.4)	lncRNA-promoter-TSS (ENST00000428207.4)	331	ENST00000602983.1	ENSG00000089022	ENST00000547915			MAPKAPK5			protein_coding
631	chr16.551	chr16	2264527	2265597	+	1000		promoter-TSS (ENST00000563857.1)	protein_coding-promoter-TSS (ENST00000563857.1)	-186	ENST00000563857.1	ENSG00000205937	ENST00000565333			RNPS1			protein_coding
636	chr15.520	chr15	40337005	40337761	+	1000		TTS (ENST00000560922.1)	protein_coding-TTS (ENST00000560922.1)	657	ENST00000558858.1	ENSG00000188549	ENST00000560922			CCDC9B			protein_coding
